,EFA US Equity,SPY US Equity,EEM US Equity,DBC US Equity,IYR US Equity,LQD US Equity,SHY US Equity
8/11/2014,65.53,193.795,44.27,25.32,72.54,119.09,84.56
8/12/2014,65.48,193.53,44.32,25.16,72.33,119.03,84.56
8/13/2014,65.85,194.84,44.56,25.14,73.23,119.27,84.6
8/14/2014,66.2,195.76,44.63,24.84,73.21,119.4,84.62
8/15/2014,66.13,195.72,44.51,24.94,73.28,119.82,84.62
8/18/2014,66.56,197.36,44.94,24.73,73.96,119.55,84.62
8/19/2014,66.72,198.39,45.15,24.78,74.02,119.47,84.62
8/20/2014,66.51,198.92,45.06,24.85,74.38,119.2,84.54
8/21/2014,66.79,199.5,44.87,24.91,74.31,119.61,84.54
8/22/2014,66.47,199.19,44.75,24.87,73.81,119.76,84.52
8/25/2014,66.9,200.2,45.08,24.91,73.78,119.95,84.49
8/26/2014,66.91,200.33,45.35,24.92,73.78,120.03,84.52
8/27/2014,67.04,200.25,45.58,24.96,73.9,120.23,84.54
8/28/2014,66.74,200.14,45.13,24.98,73.83,120.49,84.56
8/29/2014,66.71,200.71,45.06,25.03,74.2,120.58,84.6
9/1/2014,66.71,200.71,45.06,25.03,74.2,120.58,84.6
9/2/2014,66.84,200.61,44.99,24.67,74.24,119.67,84.5
9/3/2014,67.31,200.5,45.58,24.77,74.26,119.83,84.52
9/4/2014,66.99,200.2101,45.46,24.67,74.12,118.98,84.51
9/5/2014,67,201.11,45.85,24.63,74.82,119,84.54
9/8/2014,66.29,200.59,45.31,24.51,74.69,118.8,84.49
9/9/2014,66.1,199.32,44.75,24.31,74.29,118.48,84.44
9/10/2014,66.48,200.07,44.56,24.14,73.26,118.29,84.45
9/11/2014,66.11,200.3,44.26,24.02,73.35,118.2,84.46
9/12/2014,66.02,199.13,43.79,23.83,71.24,117.63,84.44
9/15/2014,65.88,198.981,43.57,23.86,70.95,117.66,84.48
9/16/2014,66.16,200.48,44.14,24.08,71.48,117.64,84.53
9/17/2014,65.69,200.75,43.73,23.98,71.43,117.32,84.44
9/18/2014,66.2,201.82,43.79,23.75,70.91,117.53,84.45
9/19/2014,65.97,200.7,43.46,23.68,70.95,117.99,84.44
9/22/2014,65.68,199.15,42.8,23.48,70.32,118.1,84.5
9/23/2014,65.13,198.01,42.56,23.48,69.92,118.29,84.52
9/24/2014,65.46,199.56,43.17,23.58,69.22,118.01,84.49
9/25/2014,64.5,196.34,42.23,23.53,68.88,118.36,84.55
9/26/2014,64.77,197.9,42.42,23.49,69.64,118.1,84.51
9/29/2014,64.17,197.54,41.56,23.63,69.62,118.05,84.53
9/30/2014,64.12,197.02,41.56,23.22,69.2,118.22,84.51
10/1/2014,63.36,194.35,40.71,23.14,69.24,118.6,84.57
10/2/2014,62.68,194.38,40.93,23.05,69.13,118.59,84.56
10/3/2014,62.68,196.52,41.28,22.83,69.6,118.93,84.48
10/6/2014,63.08,196.29,41.82,23.12,69.69,118.99,84.56
10/7/2014,62.01,193.26,41.45,23.03,69.28,119.42,84.61
10/8/2014,62.99,196.64,42.07,22.94,70.6,120.03,84.7
10/9/2014,61.3,192.74,41.41,22.67,70.51,119.53,84.7
10/10/2014,60.38,190.54,40.51,22.59,70.41,119.63,84.74
10/13/2014,60.3,187.4099,40.92,22.59,70.29,119.94,84.77
10/14/2014,60.45,187.7,41.16,22.25,71.35,120.21,84.82
10/15/2014,60.09,186.43,40.64,21.97,70.85,120.3,84.93
10/16/2014,59.53,186.27,40.27,22.19,71.04,120.03,84.88
10/17/2014,60.64,188.47,40.72,22.27,71.4,119.98,84.83
10/20/2014,61.02,190.3,40.84,22.11,72.42,120.2,84.88
10/21/2014,61.75,194.07,41.0099,22.29,73.11,120.13,84.86
10/22/2014,61.3,192.69,40.74,22.04,73.08,119.93,84.84
10/23/2014,61.89,194.93,40.73,22.3,73.63,119.7,84.8
10/24/2014,62.23,196.43,41.02,22.16,73.66,119.75,84.82
10/27/2014,61.88,196.16,40.7,22.1,74.1,119.9,84.82
10/28/2014,62.82,198.41,41.52,22.28,74.34,119.5,84.8
10/29/2014,62.34,198.11,41.58,22.54,73.79,119.28,84.69
10/30/2014,62.79,199.38,41.97,22.35,74.42,119.36,84.72
10/31/2014,63.95,201.66,42.15,22.32,74.98,119.34,84.7
11/3/2014,63.4,201.77,41.8,22.12,75.56,118.77,84.66
11/4/2014,63.04,201.07,41.84,21.8,75.65,118.94,84.65
11/5/2014,63.16,202.34,41.47,21.86,75.65,118.72,84.63
11/6/2014,62.82,203.15,40.96,21.88,75.33,118.36,84.61
11/7/2014,62.85,203.34,41.22,21.98,75.27,119.11,84.67
11/10/2014,63.13,203.98,41.33,21.77,75.61,118.51,84.61
11/11/2014,63.51,204.175,41.29,21.88,75.42,118.5,84.6
11/12/2014,62.97,203.96,41.21,21.81,75.03,118.49,84.63
11/13/2014,63.27,204.19,41.1,21.41,75.33,118.36,84.65
11/14/2014,63.36,204.24,41.44,21.64,74.87,118.51,84.69
11/17/2014,63.11,204.37,41,21.55,75.15,118.23,84.68
11/18/2014,63.8,205.55,41.22,21.44,75.51,118.33,84.67
11/19/2014,63.61,205.22,41.2,21.33,75.04,117.7,84.66
11/20/2014,63.23,205.58,41.13,21.51,75.25,118.15,84.68
11/21/2014,63.78,206.68,42.44,21.74,75.8,118.66,84.7
11/24/2014,64.15,207.26,42.09,21.55,76.02,118.85,84.71
11/25/2014,64.26,207.11,41.82,21.45,76.23,119.36,84.72
11/26/2014,64.51,207.64,42.349,21.4,76.8,119.77,84.73
11/27/2014,64.51,207.64,42.349,21.4,76.8,119.77,84.73
11/28/2014,63.99,207.2,41.5,20.42,77.02,120.09,84.76
12/1/2014,63.93,205.76,40.79,20.84,76.74,119.34,84.73
12/2/2014,64.11,207.085,40.78,20.4,77.01,118.54,84.68
12/3/2014,64.03,207.89,40.89,20.28,76.94,118.66,84.64
12/4/2014,63.82,207.66,40.96,20.22,77.06,118.85,84.69
